From TID,From JID,To TID,To JID
0,0,2,8
0,0,3,12
0,0,1,4
0,0,6,24
0,0,7,28
0,0,8,32
0,0,9,36
0,1,2,9
0,1,3,13
0,1,1,5
0,1,6,25
0,1,7,29
0,1,8,33
0,1,9,37
0,2,2,10
0,2,3,14
0,2,1,6
0,2,6,26
0,2,7,30
0,2,8,34
0,2,9,38
0,3,2,11
0,3,3,15
0,3,1,7
0,3,6,27
0,3,7,31
0,3,8,35
0,3,9,39
2,8,1,4
2,8,6,24
2,8,7,28
2,8,9,36
2,9,1,5
2,9,6,25
2,9,7,29
2,9,9,37
2,10,1,6
2,10,6,26
2,10,7,30
2,10,9,38
2,11,1,7
2,11,6,27
2,11,7,31
2,11,9,39
3,12,5,20
3,12,9,36
3,12,4,16
3,13,5,21
3,13,9,37
3,13,4,17
3,14,5,22
3,14,9,38
3,14,4,18
3,15,5,23
3,15,9,39
3,15,4,19
4,16,1,4
4,17,1,5
4,18,1,6
4,19,1,7
5,20,7,28
5,20,8,32
5,20,1,4
5,20,4,16
5,21,7,29
5,21,8,33
5,21,1,5
5,21,4,17
5,22,7,30
5,22,8,34
5,22,1,6
5,22,4,18
5,23,7,31
5,23,8,35
5,23,1,7
5,23,4,19
6,24,4,16
6,25,4,17
6,26,4,18
6,27,4,19
7,28,6,24
7,28,4,16
7,29,6,25
7,29,4,17
7,30,6,26
7,30,4,18
7,31,6,27
7,31,4,19
8,32,6,24
8,32,1,4
8,33,6,25
8,33,1,5
8,34,6,26
8,34,1,6
8,35,6,27
8,35,1,7
9,36,4,16
9,36,1,4
9,36,6,24
9,36,7,28
9,36,8,32
9,37,4,17
9,37,1,5
9,37,6,25
9,37,7,29
9,37,8,33
9,38,4,18
9,38,1,6
9,38,6,26
9,38,7,30
9,38,8,34
9,39,4,19
9,39,1,7
9,39,6,27
9,39,7,31
9,39,8,35
10,40,12,48
10,40,20,80
10,40,21,84
10,40,15,60
10,40,16,64
10,40,17,68
10,40,18,72
10,40,19,76
10,41,12,49
10,41,20,81
10,41,21,85
10,41,15,61
10,41,16,65
10,41,17,69
10,41,18,73
10,41,19,77
10,42,12,50
10,42,20,82
10,42,21,86
10,42,15,62
10,42,16,66
10,42,17,70
10,42,18,74
10,42,19,78
10,43,12,51
10,43,20,83
10,43,21,87
10,43,15,63
10,43,16,67
10,43,17,71
10,43,18,75
10,43,19,79
12,48,14,56
12,48,15,60
12,48,16,64
12,49,14,57
12,49,15,61
12,49,16,65
12,50,14,58
12,50,15,62
12,50,16,66
12,51,14,59
12,51,15,63
12,51,16,67
13,52,11,44
13,53,11,45
13,54,11,46
13,55,11,47
14,56,13,52
14,56,11,44
14,56,16,64
14,56,18,72
14,57,13,53
14,57,11,45
14,57,16,65
14,57,18,73
14,58,13,54
14,58,11,46
14,58,16,66
14,58,18,74
14,59,13,55
14,59,11,47
14,59,16,67
14,59,18,75
15,60,17,68
15,60,18,72
15,60,19,76
15,60,13,52
15,60,16,64
15,61,17,69
15,61,18,73
