From TID,From JID,To TID,To JID
0,0,2,12
0,0,3,18
0,0,11,66
0,0,1,6
0,0,7,42
0,1,2,13
0,1,3,19
0,1,11,67
0,1,1,7
0,1,7,43
0,2,2,14
0,2,3,20
0,2,11,68
0,2,1,8
0,2,7,44
0,3,2,15
0,3,3,21
0,3,11,69
0,3,1,9
0,3,7,45
0,4,2,16
0,4,3,22
0,4,11,70
0,4,1,10
0,4,7,46
0,5,2,17
0,5,3,23
0,5,11,71
0,5,1,11
0,5,7,47
2,12,1,6
2,12,6,36
2,12,8,48
2,13,1,7
2,13,6,37
2,13,8,49
2,14,1,8
2,14,6,38
2,14,8,50
2,15,1,9
2,15,6,39
2,15,8,51
2,16,1,10
2,16,6,40
2,16,8,52
2,17,1,11
2,17,6,41
2,17,8,53
3,18,5,30
3,18,10,60
3,18,1,6
3,18,8,48
3,19,5,31
3,19,10,61
3,19,1,7
3,19,8,49
3,20,5,32
3,20,10,62
3,20,1,8
3,20,8,50
3,21,5,33
3,21,10,63
3,21,1,9
3,21,8,51
3,22,5,34
3,22,10,64
3,22,1,10
3,22,8,52
3,23,5,35
3,23,10,65
3,23,1,11
3,23,8,53
4,24,1,6
4,25,1,7
4,26,1,8
4,27,1,9
4,28,1,10
4,29,1,11
5,30,7,42
5,30,8,48
5,30,9,54
5,30,1,6
5,30,6,36
5,31,7,43
5,31,8,49
5,31,9,55
5,31,1,7
5,31,6,37
5,32,7,44
5,32,8,50
5,32,9,56
5,32,1,8
5,32,6,38
5,33,7,45
5,33,8,51
5,33,9,57
5,33,1,9
5,33,6,39
5,34,7,46
5,34,8,52
5,34,9,58
5,34,1,10
5,34,6,40
5,35,7,47
5,35,8,53
5,35,9,59
5,35,1,11
5,35,6,41
6,36,4,24
6,36,1,6
6,37,4,25
6,37,1,7
6,38,4,26
6,38,1,8
6,39,4,27
6,39,1,9
6,40,4,28
6,40,1,10
6,41,4,29
6,41,1,11
7,42,6,36
7,42,1,6
7,43,6,37
7,43,1,7
7,44,6,38
7,44,1,8
7,45,6,39
7,45,1,9
7,46,6,40
7,46,1,10
7,47,6,41
7,47,1,11
8,48,6,36
8,48,1,6
8,49,6,37
8,49,1,7
8,50,6,38
8,50,1,8
8,51,6,39
8,51,1,9
8,52,6,40
8,52,1,10
8,53,6,41
8,53,1,11
9,54,6,36
9,54,1,6
9,55,6,37
9,55,1,7
9,56,6,38
9,56,1,8
9,57,6,39
9,57,1,9
9,58,6,40
9,58,1,10
9,59,6,41
9,59,1,11
10,60,4,24
10,60,6,36
10,60,9,54
10,61,4,25
10,61,6,37
10,61,9,55
10,62,4,26
10,62,6,38
10,62,9,56
10,63,4,27
10,63,6,39
10,63,9,57
10,64,4,28
10,64,6,40
10,64,9,58
10,65,4,29
10,65,6,41
10,65,9,59
11,66,1,6
11,66,5,30
11,66,7,42
11,66,8,48
11,66,10,60
11,67,1,7
11,67,5,31
11,67,7,43
11,67,8,49
11,67,10,61
11,68,1,8
11,68,5,32
11,68,7,44
11,68,8,50
11,68,10,62
11,69,1,9
11,69,5,33
11,69,7,45
11,69,8,51
11,69,10,63
11,70,1,10
11,70,5,34
11,70,7,46
11,70,8,52
11,70,10,64
11,71,1,11
11,71,5,35
11,71,7,47
11,71,8,53
11,71,10,65
12,72,14,84
12,72,15,90
12,72,22,132
12,72,13,78
12,72,17,102
12,72,18,108
12,72,20,120
12,73,14,85
12,73,15,91
12,73,22,133
12,73,13,79
12,73,17,103
12,73,18,109
12,73,20,121
12,74,14,86
12,74,15,92
12,74,22,134
12,74,13,80
12,74,17,104
12,74,18,110
12,74,20,122
12,75,14,87
12,75,15,93
12,75,22,135
12,75,13,81
12,75,17,105
12,75,18,111
12,75,20,123
12,76,14,88
12,76,15,94
12,76,22,136
12,76,13,82
12,76,17,106
12,76,18,112
12,76,20,124
12,77,14,89
12,77,15,95
12,77,22,137
12,77,13,83
12,77,17,107
12,77,18,113
12,77,20,125
14,84,13,78
14,84,16,96
14,84,21,126
14,85,13,79
14,85,16,97
14,85,21,127
14,86,13,80
14,86,16,98
14,86,21,128
14,87,13,81
14,87,16,99
14,87,21,129
14,88,13,82
14,88,16,100
14,88,21,130
14,89,13,83
14,89,16,101
14,89,21,131
15,90,17,102
15,90,21,126
15,90,16,96
15,90,18,108
