From TID,From JID,To TID,To JID
0,0,2,352
0,0,3,528
0,0,4,704
0,0,5,880
0,0,6,1056
0,0,7,1232
0,0,8,1408
0,0,10,1760
0,1,2,353
0,1,3,529
0,1,4,705
0,1,5,881
0,1,6,1057
0,1,7,1233
0,1,8,1409
0,1,10,1761
0,2,2,354
0,2,3,530
0,2,4,706
0,2,5,882
0,2,6,1058
0,2,7,1234
0,2,8,1410
0,2,10,1762
0,3,2,355
0,3,3,531
0,3,4,707
0,3,5,883
0,3,6,1059
0,3,7,1235
0,3,8,1411
0,3,10,1763
0,4,2,356
0,4,3,532
0,4,4,708
0,4,5,884
0,4,6,1060
0,4,7,1236
0,4,8,1412
0,4,10,1764
0,5,2,357
0,5,3,533
0,5,4,709
0,5,5,885
0,5,6,1061
0,5,7,1237
0,5,8,1413
0,5,10,1765
0,6,2,358
0,6,3,534
0,6,4,710
0,6,5,886
0,6,6,1062
0,6,7,1238
0,6,8,1414
0,6,10,1766
0,7,2,359
0,7,3,535
0,7,4,711
0,7,5,887
0,7,6,1063
0,7,7,1239
0,7,8,1415
0,7,10,1767
0,8,2,360
0,8,3,536
0,8,4,712
0,8,5,888
0,8,6,1064
0,8,7,1240
0,8,8,1416
0,8,10,1768
0,9,2,361
0,9,3,537
0,9,4,713
0,9,5,889
0,9,6,1065
0,9,7,1241
0,9,8,1417
0,9,10,1769
0,10,2,362
0,10,3,538
0,10,4,714
0,10,5,890
0,10,6,1066
0,10,7,1242
0,10,8,1418
0,10,10,1770
0,11,2,363
0,11,3,539
0,11,4,715
0,11,5,891
0,11,6,1067
0,11,7,1243
0,11,8,1419
0,11,10,1771
0,12,2,364
0,12,3,540
0,12,4,716
0,12,5,892
0,12,6,1068
0,12,7,1244
0,12,8,1420
0,12,10,1772
0,13,2,365
0,13,3,541
0,13,4,717
0,13,5,893
0,13,6,1069
0,13,7,1245
0,13,8,1421
0,13,10,1773
0,14,2,366
0,14,3,542
0,14,4,718
0,14,5,894
0,14,6,1070
0,14,7,1246
0,14,8,1422
0,14,10,1774
0,15,2,367
0,15,3,543
0,15,4,719
0,15,5,895
0,15,6,1071
0,15,7,1247
0,15,8,1423
0,15,10,1775
0,16,2,368
0,16,3,544
0,16,4,720
0,16,5,896
0,16,6,1072
0,16,7,1248
0,16,8,1424
0,16,10,1776
0,17,2,369
0,17,3,545
0,17,4,721
0,17,5,897
0,17,6,1073
0,17,7,1249
0,17,8,1425
0,17,10,1777
0,18,2,370
0,18,3,546
0,18,4,722
0,18,5,898
0,18,6,1074
0,18,7,1250
0,18,8,1426
0,18,10,1778
0,19,2,371
0,19,3,547
0,19,4,723
0,19,5,899
0,19,6,1075
0,19,7,1251
0,19,8,1427
0,19,10,1779
0,20,2,372
0,20,3,548
0,20,4,724
0,20,5,900
0,20,6,1076
0,20,7,1252
0,20,8,1428
0,20,10,1780
0,21,2,373
0,21,3,549
0,21,4,725
0,21,5,901
0,21,6,1077
0,21,7,1253
0,21,8,1429
0,21,10,1781
0,22,2,374
0,22,3,550
0,22,4,726
0,22,5,902
0,22,6,1078
0,22,7,1254
0,22,8,1430
0,22,10,1782
0,23,2,375
0,23,3,551
0,23,4,727
0,23,5,903
0,23,6,1079
0,23,7,1255
0,23,8,1431
0,23,10,1783
0,24,2,376
0,24,3,552
0,24,4,728
0,24,5,904
0,24,6,1080
0,24,7,1256
0,24,8,1432
0,24,10,1784
0,25,2,377
0,25,3,553
0,25,4,729
0,25,5,905
0,25,6,1081
0,25,7,1257
0,25,8,1433
0,25,10,1785
0,26,2,378
0,26,3,554
0,26,4,730
0,26,5,906
0,26,6,1082
0,26,7,1258
0,26,8,1434
0,26,10,1786
0,27,2,379
0,27,3,555
0,27,4,731
0,27,5,907
0,27,6,1083
0,27,7,1259
0,27,8,1435
0,27,10,1787
0,28,2,380
0,28,3,556
0,28,4,732
0,28,5,908
0,28,6,1084
0,28,7,1260
0,28,8,1436
0,28,10,1788
0,29,2,381
0,29,3,557
0,29,4,733
0,29,5,909
0,29,6,1085
0,29,7,1261
0,29,8,1437
0,29,10,1789
0,30,2,382
0,30,3,558
0,30,4,734
0,30,5,910
0,30,6,1086
