Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,71,706,10000,10000
0,1,10000,11000,71,706,20000,10000
0,2,20000,21000,71,706,30000,10000
0,3,30000,31000,71,706,40000,10000
0,4,40000,41000,71,706,50000,10000
0,5,50000,51000,71,706,60000,10000
0,6,60000,61000,71,706,70000,10000
0,7,70000,71000,71,706,80000,10000
0,8,80000,81000,71,706,90000,10000
0,9,90000,91000,71,706,100000,10000
0,10,100000,101000,71,706,110000,10000
0,11,110000,111000,71,706,120000,10000
0,12,120000,121000,71,706,130000,10000
0,13,130000,131000,71,706,140000,10000
0,14,140000,141000,71,706,150000,10000
0,15,150000,151000,71,706,160000,10000
0,16,160000,161000,71,706,170000,10000
0,17,170000,171000,71,706,180000,10000
0,18,180000,181000,71,706,190000,10000
0,19,190000,191000,71,706,200000,10000
0,20,200000,201000,71,706,210000,10000
0,21,210000,211000,71,706,220000,10000
0,22,220000,221000,71,706,230000,10000
0,23,230000,231000,71,706,240000,10000
0,24,240000,241000,71,706,250000,10000
0,25,250000,251000,71,706,260000,10000
0,26,260000,261000,71,706,270000,10000
0,27,270000,271000,71,706,280000,10000
0,28,280000,281000,71,706,290000,10000
0,29,290000,291000,71,706,300000,10000
0,30,300000,301000,71,706,310000,10000
0,31,310000,311000,71,706,320000,10000
0,32,320000,321000,71,706,330000,10000
0,33,330000,331000,71,706,340000,10000
0,34,340000,341000,71,706,350000,10000
0,35,350000,351000,71,706,360000,10000
0,36,360000,361000,71,706,370000,10000
0,37,370000,371000,71,706,380000,10000
0,38,380000,381000,71,706,390000,10000
0,39,390000,391000,71,706,400000,10000
0,40,400000,401000,71,706,410000,10000
0,41,410000,411000,71,706,420000,10000
0,42,420000,421000,71,706,430000,10000
0,43,430000,431000,71,706,440000,10000
0,44,440000,441000,71,706,450000,10000
0,45,450000,451000,71,706,460000,10000
0,46,460000,461000,71,706,470000,10000
0,47,470000,471000,71,706,480000,10000
0,48,480000,481000,71,706,490000,10000
0,49,490000,491000,71,706,500000,10000
0,50,500000,501000,71,706,510000,10000
0,51,510000,511000,71,706,520000,10000
0,52,520000,521000,71,706,530000,10000
