Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,55,547,10000,10000
0,1,10000,11000,55,547,20000,10000
0,2,20000,21000,55,547,30000,10000
0,3,30000,31000,55,547,40000,10000
0,4,40000,41000,55,547,50000,10000
0,5,50000,51000,55,547,60000,10000
0,6,60000,61000,55,547,70000,10000
0,7,70000,71000,55,547,80000,10000
0,8,80000,81000,55,547,90000,10000
0,9,90000,91000,55,547,100000,10000
0,10,100000,101000,55,547,110000,10000
0,11,110000,111000,55,547,120000,10000
0,12,120000,121000,55,547,130000,10000
0,13,130000,131000,55,547,140000,10000
0,14,140000,141000,55,547,150000,10000
0,15,150000,151000,55,547,160000,10000
0,16,160000,161000,55,547,170000,10000
0,17,170000,171000,55,547,180000,10000
0,18,180000,181000,55,547,190000,10000
0,19,190000,191000,55,547,200000,10000
0,20,200000,201000,55,547,210000,10000
0,21,210000,211000,55,547,220000,10000
0,22,220000,221000,55,547,230000,10000
0,23,230000,231000,55,547,240000,10000
0,24,240000,241000,55,547,250000,10000
0,25,250000,251000,55,547,260000,10000
0,26,260000,261000,55,547,270000,10000
0,27,270000,271000,55,547,280000,10000
0,28,280000,281000,55,547,290000,10000
0,29,290000,291000,55,547,300000,10000
0,30,300000,301000,55,547,310000,10000
0,31,310000,311000,55,547,320000,10000
0,32,320000,321000,55,547,330000,10000
0,33,330000,331000,55,547,340000,10000
0,34,340000,341000,55,547,350000,10000
0,35,350000,351000,55,547,360000,10000
0,36,360000,361000,55,547,370000,10000
0,37,370000,371000,55,547,380000,10000
0,38,380000,381000,55,547,390000,10000
0,39,390000,391000,55,547,400000,10000
0,40,400000,401000,55,547,410000,10000
0,41,410000,411000,55,547,420000,10000
0,42,420000,421000,55,547,430000,10000
0,43,430000,431000,55,547,440000,10000
0,44,440000,441000,55,547,450000,10000
0,45,450000,451000,55,547,460000,10000
0,46,460000,461000,55,547,470000,10000
0,47,470000,471000,55,547,480000,10000
0,48,480000,481000,55,547,490000,10000
0,49,490000,491000,55,547,500000,10000
0,50,500000,501000,55,547,510000,10000
0,51,510000,511000,55,547,520000,10000
0,52,520000,521000,55,547,530000,10000
0,53,530000,531000,55,547,540000,10000
0,54,540000,541000,55,547,550000,10000
0,55,550000,551000,55,547,560000,10000
0,56,560000,561000,55,547,570000,10000
0,57,570000,571000,55,547,580000,10000
0,58,580000,581000,55,547,590000,10000
0,59,590000,591000,55,547,600000,10000
0,60,600000,601000,55,547,610000,10000
0,61,610000,611000,55,547,620000,10000
0,62,620000,621000,55,547,630000,10000
0,63,630000,631000,55,547,640000,10000
0,64,640000,641000,55,547,650000,10000
0,65,650000,651000,55,547,660000,10000
0,66,660000,661000,55,547,670000,10000
0,67,670000,671000,55,547,680000,10000
0,68,680000,681000,55,547,690000,10000
0,69,690000,691000,55,547,700000,10000
0,70,700000,701000,55,547,710000,10000
0,71,710000,711000,55,547,720000,10000
0,72,720000,721000,55,547,730000,10000
0,73,730000,731000,55,547,740000,10000
0,74,740000,741000,55,547,750000,10000
0,75,750000,751000,55,547,760000,10000
0,76,760000,761000,55,547,770000,10000
0,77,770000,771000,55,547,780000,10000
0,78,780000,781000,55,547,790000,10000
0,79,790000,791000,55,547,800000,10000
0,80,800000,801000,55,547,810000,10000
0,81,810000,811000,55,547,820000,10000
0,82,820000,821000,55,547,830000,10000
0,83,830000,831000,55,547,840000,10000
0,84,840000,841000,55,547,850000,10000
0,85,850000,851000,55,547,860000,10000
0,86,860000,861000,55,547,870000,10000
0,87,870000,871000,55,547,880000,10000
0,88,880000,881000,55,547,890000,10000
0,89,890000,891000,55,547,900000,10000
0,90,900000,901000,55,547,910000,10000
1,91,0,1000,2,16,10000,10000
1,92,10000,11000,2,16,20000,10000
1,93,20000,21000,2,16,30000,10000
1,94,30000,31000,2,16,40000,10000
1,95,40000,41000,2,16,50000,10000
1,96,50000,51000,2,16,60000,10000
1,97,60000,61000,2,16,70000,10000
1,98,70000,71000,2,16,80000,10000
1,99,80000,81000,2,16,90000,10000
