From TID,From JID,To TID,To JID
0,0,2,182
0,0,3,273
0,0,11,1001
0,0,1,91
0,0,4,364
0,0,5,455
0,0,7,637
0,0,8,728
0,1,2,183
0,1,3,274
0,1,11,1002
0,1,1,92
0,1,4,365
0,1,5,456
0,1,7,638
0,1,8,729
0,2,2,184
0,2,3,275
0,2,11,1003
0,2,1,93
0,2,4,366
0,2,5,457
0,2,7,639
0,2,8,730
0,3,2,185
0,3,3,276
0,3,11,1004
0,3,1,94
0,3,4,367
0,3,5,458
0,3,7,640
0,3,8,731
0,4,2,186
0,4,3,277
0,4,11,1005
0,4,1,95
0,4,4,368
0,4,5,459
0,4,7,641
0,4,8,732
0,5,2,187
0,5,3,278
0,5,11,1006
0,5,1,96
0,5,4,369
0,5,5,460
0,5,7,642
0,5,8,733
0,6,2,188
0,6,3,279
0,6,11,1007
0,6,1,97
0,6,4,370
0,6,5,461
0,6,7,643
0,6,8,734
0,7,2,189
0,7,3,280
0,7,11,1008
0,7,1,98
0,7,4,371
0,7,5,462
0,7,7,644
0,7,8,735
0,8,2,190
0,8,3,281
0,8,11,1009
0,8,1,99
0,8,4,372
0,8,5,463
0,8,7,645
0,8,8,736
0,9,2,191
0,9,3,282
0,9,11,1010
0,9,1,100
0,9,4,373
0,9,5,464
0,9,7,646
0,9,8,737
0,10,2,192
0,10,3,283
0,10,11,1011
0,10,1,101
0,10,4,374
0,10,5,465
0,10,7,647
0,10,8,738
0,11,2,193
0,11,3,284
0,11,11,1012
0,11,1,102
0,11,4,375
0,11,5,466
0,11,7,648
0,11,8,739
0,12,2,194
0,12,3,285
0,12,11,1013
0,12,1,103
0,12,4,376
0,12,5,467
0,12,7,649
0,12,8,740
0,13,2,195
0,13,3,286
0,13,11,1014
0,13,1,104
0,13,4,377
0,13,5,468
0,13,7,650
0,13,8,741
0,14,2,196
0,14,3,287
0,14,11,1015
0,14,1,105
0,14,4,378
0,14,5,469
0,14,7,651
0,14,8,742
0,15,2,197
0,15,3,288
0,15,11,1016
0,15,1,106
0,15,4,379
0,15,5,470
0,15,7,652
0,15,8,743
0,16,2,198
0,16,3,289
0,16,11,1017
0,16,1,107
0,16,4,380
0,16,5,471
0,16,7,653
0,16,8,744
0,17,2,199
0,17,3,290
0,17,11,1018
0,17,1,108
0,17,4,381
0,17,5,472
0,17,7,654
0,17,8,745
0,18,2,200
0,18,3,291
0,18,11,1019
0,18,1,109
0,18,4,382
0,18,5,473
0,18,7,655
0,18,8,746
0,19,2,201
0,19,3,292
0,19,11,1020
0,19,1,110
0,19,4,383
0,19,5,474
0,19,7,656
0,19,8,747
0,20,2,202
0,20,3,293
0,20,11,1021
0,20,1,111
0,20,4,384
0,20,5,475
0,20,7,657
0,20,8,748
0,21,2,203
0,21,3,294
0,21,11,1022
0,21,1,112
0,21,4,385
0,21,5,476
0,21,7,658
0,21,8,749
0,22,2,204
0,22,3,295
0,22,11,1023
0,22,1,113
0,22,4,386
0,22,5,477
0,22,7,659
0,22,8,750
0,23,2,205
0,23,3,296
0,23,11,1024
0,23,1,114
0,23,4,387
0,23,5,478
0,23,7,660
0,23,8,751
0,24,2,206
0,24,3,297
0,24,11,1025
0,24,1,115
0,24,4,388
0,24,5,479
0,24,7,661
0,24,8,752
0,25,2,207
0,25,3,298
0,25,11,1026
0,25,1,116
0,25,4,389
0,25,5,480
0,25,7,662
0,25,8,753
0,26,2,208
0,26,3,299
0,26,11,1027
0,26,1,117
0,26,4,390
0,26,5,481
0,26,7,663
0,26,8,754
0,27,2,209
0,27,3,300
0,27,11,1028
0,27,1,118
0,27,4,391
0,27,5,482
0,27,7,664
0,27,8,755
0,28,2,210
0,28,3,301
0,28,11,1029
0,28,1,119
0,28,4,392
0,28,5,483
0,28,7,665
0,28,8,756
0,29,2,211
0,29,3,302
0,29,11,1030
0,29,1,120
0,29,4,393
0,29,5,484
0,29,7,666
0,29,8,757
0,30,2,212
0,30,3,303
0,30,11,1031
0,30,1,121
0,30,4,394
0,30,5,485
0,30,7,667
0,30,8,758
0,31,2,213
0,31,3,304
0,31,11,1032
0,31,1,122
0,31,4,395
0,31,5,486
0,31,7,668
0,31,8,759
0,32,2,214
0,32,3,305
0,32,11,1033
0,32,1,123
0,32,4,396
0,32,5,487
0,32,7,669
0,32,8,760
0,33,2,215
0,33,3,306
0,33,11,1034
0,33,1,124
0,33,4,397
0,33,5,488
0,33,7,670
0,33,8,761
0,34,2,216
0,34,3,307
0,34,11,1035
0,34,1,125
0,34,4,398
0,34,5,489
0,34,7,671
0,34,8,762
0,35,2,217
0,35,3,308
0,35,11,1036
0,35,1,126
0,35,4,399
0,35,5,490
0,35,7,672
0,35,8,763
0,36,2,218
0,36,3,309
0,36,11,1037
0,36,1,127
0,36,4,400
0,36,5,491
0,36,7,673
0,36,8,764
0,37,2,219
0,37,3,310
0,37,11,1038
0,37,1,128
0,37,4,401
0,37,5,492
0,37,7,674
0,37,8,765
0,38,2,220
0,38,3,311
0,38,11,1039
0,38,1,129
0,38,4,402
0,38,5,493
0,38,7,675
0,38,8,766
0,39,2,221
0,39,3,312
0,39,11,1040
0,39,1,130
0,39,4,403
0,39,5,494
0,39,7,676
0,39,8,767
0,40,2,222
0,40,3,313
0,40,11,1041
0,40,1,131
0,40,4,404
0,40,5,495
0,40,7,677
0,40,8,768
0,41,2,223
0,41,3,314
0,41,11,1042
0,41,1,132
0,41,4,405
0,41,5,496
0,41,7,678
0,41,8,769
0,42,2,224
0,42,3,315
0,42,11,1043
0,42,1,133
0,42,4,406
0,42,5,497
0,42,7,679
0,42,8,770
0,43,2,225
0,43,3,316
0,43,11,1044
0,43,1,134
0,43,4,407
0,43,5,498
0,43,7,680
0,43,8,771
0,44,2,226
0,44,3,317
0,44,11,1045
0,44,1,135
0,44,4,408
0,44,5,499
0,44,7,681
0,44,8,772
0,45,2,227
0,45,3,318
0,45,11,1046
0,45,1,136
0,45,4,409
0,45,5,500
0,45,7,682
0,45,8,773
0,46,2,228
0,46,3,319
0,46,11,1047
0,46,1,137
0,46,4,410
0,46,5,501
0,46,7,683
0,46,8,774
0,47,2,229
0,47,3,320
0,47,11,1048
0,47,1,138
0,47,4,411
0,47,5,502
0,47,7,684
0,47,8,775
0,48,2,230
0,48,3,321
0,48,11,1049
0,48,1,139
0,48,4,412
0,48,5,503
0,48,7,685
0,48,8,776
0,49,2,231
0,49,3,322
0,49,11,1050
0,49,1,140
0,49,4,413
0,49,5,504
0,49,7,686
0,49,8,777
0,50,2,232
0,50,3,323
0,50,11,1051
0,50,1,141
0,50,4,414
0,50,5,505
0,50,7,687
0,50,8,778
0,51,2,233
0,51,3,324
0,51,11,1052
0,51,1,142
0,51,4,415
0,51,5,506
0,51,7,688
0,51,8,779
0,52,2,234
0,52,3,325
0,52,11,1053
0,52,1,143
0,52,4,416
0,52,5,507
0,52,7,689
0,52,8,780
0,53,2,235
0,53,3,326
0,53,11,1054
0,53,1,144
0,53,4,417
0,53,5,508
0,53,7,690
0,53,8,781
0,54,2,236
0,54,3,327
0,54,11,1055
0,54,1,145
0,54,4,418
0,54,5,509
0,54,7,691
0,54,8,782
0,55,2,237
0,55,3,328
0,55,11,1056
0,55,1,146
0,55,4,419
0,55,5,510
0,55,7,692
0,55,8,783
0,56,2,238
0,56,3,329
0,56,11,1057
0,56,1,147
0,56,4,420
0,56,5,511
0,56,7,693
0,56,8,784
0,57,2,239
0,57,3,330
0,57,11,1058
0,57,1,148
0,57,4,421
0,57,5,512
0,57,7,694
0,57,8,785
0,58,2,240
0,58,3,331
0,58,11,1059
0,58,1,149
0,58,4,422
0,58,5,513
0,58,7,695
0,58,8,786
0,59,2,241
0,59,3,332
0,59,11,1060
0,59,1,150
0,59,4,423
0,59,5,514
0,59,7,696
0,59,8,787
0,60,2,242
0,60,3,333
0,60,11,1061
0,60,1,151
0,60,4,424
0,60,5,515
0,60,7,697
0,60,8,788
0,61,2,243
0,61,3,334
0,61,11,1062
0,61,1,152
0,61,4,425
0,61,5,516
0,61,7,698
0,61,8,789
0,62,2,244
0,62,3,335
0,62,11,1063
0,62,1,153
0,62,4,426
0,62,5,517
0,62,7,699
0,62,8,790
0,63,2,245
0,63,3,336
0,63,11,1064
0,63,1,154
0,63,4,427
0,63,5,518
0,63,7,700
0,63,8,791
0,64,2,246
0,64,3,337
0,64,11,1065
0,64,1,155
0,64,4,428
0,64,5,519
0,64,7,701
0,64,8,792
0,65,2,247
0,65,3,338
0,65,11,1066
0,65,1,156
0,65,4,429
0,65,5,520
0,65,7,702
0,65,8,793
0,66,2,248
0,66,3,339
0,66,11,1067
0,66,1,157
0,66,4,430
0,66,5,521
0,66,7,703
0,66,8,794
0,67,2,249
0,67,3,340
0,67,11,1068
0,67,1,158
0,67,4,431
0,67,5,522
0,67,7,704
0,67,8,795
0,68,2,250
0,68,3,341
0,68,11,1069
0,68,1,159
0,68,4,432
0,68,5,523
0,68,7,705
0,68,8,796
0,69,2,251
0,69,3,342
0,69,11,1070
0,69,1,160
0,69,4,433
0,69,5,524
0,69,7,706
0,69,8,797
0,70,2,252
0,70,3,343
0,70,11,1071
0,70,1,161
0,70,4,434
0,70,5,525
0,70,7,707
0,70,8,798
0,71,2,253
0,71,3,344
0,71,11,1072
0,71,1,162
0,71,4,435
0,71,5,526
0,71,7,708
0,71,8,799
0,72,2,254
0,72,3,345
0,72,11,1073
0,72,1,163
0,72,4,436
0,72,5,527
0,72,7,709
0,72,8,800
0,73,2,255
0,73,3,346
0,73,11,1074
0,73,1,164
0,73,4,437
0,73,5,528
0,73,7,710
0,73,8,801
0,74,2,256
0,74,3,347
0,74,11,1075
0,74,1,165
0,74,4,438
0,74,5,529
0,74,7,711
0,74,8,802
0,75,2,257
0,75,3,348
0,75,11,1076
0,75,1,166
0,75,4,439
0,75,5,530
0,75,7,712
0,75,8,803
0,76,2,258
0,76,3,349
0,76,11,1077
0,76,1,167
0,76,4,440
0,76,5,531
0,76,7,713
0,76,8,804
0,77,2,259
0,77,3,350
0,77,11,1078
0,77,1,168
0,77,4,441
0,77,5,532
0,77,7,714
0,77,8,805
0,78,2,260
0,78,3,351
0,78,11,1079
0,78,1,169
0,78,4,442
0,78,5,533
0,78,7,715
0,78,8,806
0,79,2,261
0,79,3,352
0,79,11,1080
0,79,1,170
0,79,4,443
0,79,5,534
0,79,7,716
0,79,8,807
0,80,2,262
0,80,3,353
0,80,11,1081
0,80,1,171
0,80,4,444
0,80,5,535
0,80,7,717
0,80,8,808
0,81,2,263
0,81,3,354
0,81,11,1082
0,81,1,172
0,81,4,445
0,81,5,536
0,81,7,718
0,81,8,809
0,82,2,264
0,82,3,355
0,82,11,1083
0,82,1,173
0,82,4,446
0,82,5,537
0,82,7,719
0,82,8,810
0,83,2,265
0,83,3,356
0,83,11,1084
0,83,1,174
0,83,4,447
0,83,5,538
0,83,7,720
0,83,8,811
0,84,2,266
0,84,3,357
0,84,11,1085
0,84,1,175
0,84,4,448
0,84,5,539
0,84,7,721
0,84,8,812
0,85,2,267
0,85,3,358
0,85,11,1086
0,85,1,176
0,85,4,449
0,85,5,540
0,85,7,722
0,85,8,813
0,86,2,268
0,86,3,359
0,86,11,1087
0,86,1,177
0,86,4,450
0,86,5,541
0,86,7,723
0,86,8,814
0,87,2,269
0,87,3,360
0,87,11,1088
0,87,1,178
0,87,4,451
0,87,5,542
0,87,7,724
0,87,8,815
0,88,2,270
0,88,3,361
0,88,11,1089
0,88,1,179
0,88,4,452
0,88,5,543
0,88,7,725
0,88,8,816
0,89,2,271
0,89,3,362
0,89,11,1090
0,89,1,180
0,89,4,453
0,89,5,544
0,89,7,726
0,89,8,817
0,90,2,272
0,90,3,363
0,90,11,1091
0,90,1,181
0,90,4,454
0,90,5,545
0,90,7,727
0,90,8,818
2,182,1,91
2,182,4,364
2,182,6,546
2,182,8,728
2,182,10,910
2,183,1,92
2,183,4,365
2,183,6,547
2,183,8,729
2,183,10,911
2,184,1,93
2,184,4,366
2,184,6,548
2,184,8,730
2,184,10,912
2,185,1,94
2,185,4,367
2,185,6,549
2,185,8,731
2,185,10,913
2,186,1,95
2,186,4,368
2,186,6,550
2,186,8,732
2,186,10,914
2,187,1,96
2,187,4,369
2,187,6,551
2,187,8,733
2,187,10,915
2,188,1,97
2,188,4,370
2,188,6,552
2,188,8,734
2,188,10,916
2,189,1,98
2,189,4,371
2,189,6,553
2,189,8,735
2,189,10,917
2,190,1,99
2,190,4,372
2,190,6,554
2,190,8,736
2,190,10,918
2,191,1,100
2,191,4,373
2,191,6,555
2,191,8,737
2,191,10,919
2,192,1,101
2,192,4,374
2,192,6,556
2,192,8,738
2,192,10,920
2,193,1,102
2,193,4,375
2,193,6,557
2,193,8,739
2,193,10,921
2,194,1,103
2,194,4,376
2,194,6,558
2,194,8,740
2,194,10,922
2,195,1,104
2,195,4,377
2,195,6,559
2,195,8,741
2,195,10,923
2,196,1,105
2,196,4,378
2,196,6,560
2,196,8,742
2,196,10,924
2,197,1,106
2,197,4,379
2,197,6,561
2,197,8,743
2,197,10,925
2,198,1,107
2,198,4,380
2,198,6,562
2,198,8,744
2,198,10,926
2,199,1,108
2,199,4,381
2,199,6,563
2,199,8,745
2,199,10,927
2,200,1,109
2,200,4,382
2,200,6,564
2,200,8,746
2,200,10,928
2,201,1,110
2,201,4,383
2,201,6,565
2,201,8,747
2,201,10,929
2,202,1,111
2,202,4,384
2,202,6,566
2,202,8,748
2,202,10,930
2,203,1,112
2,203,4,385
2,203,6,567
2,203,8,749
2,203,10,931
2,204,1,113
2,204,4,386
2,204,6,568
2,204,8,750
2,204,10,932
2,205,1,114
